original coordinate,"ETRS89 Geodetic ( Degrees, Minutes, Seconds )","ETRS89 Geodetic ( Degrees, Decimal Minutes )","ETRS89 Geodetic ( Decimal Degrees )","ETRS89 XYZ","National Grid Eastings and Northings","National Grid KM Square"
"231700 715500","56, 18, 7.039725, W, 4, 43, 17.908006, 54.5031","56, 18.117329, W, 4, 43.298467, 54.5031","56.3019554792, -4.7216411129, 54.5031","3534913.1008, -291966.9935, 5283214.7282","231700 715500 0 1","NN3115"
"232070 674430","55, 56, 0.625306, W, 4, 41, 23.303287, 54.5557","55, 56.010422, W, 4, 41.388388, 54.5557","55.9335070293, -4.6898064686, 54.5557","3569018.9394, -292787.5207, 5260343.9352","232070 674430 0 1","NS3274"
"232190 652740","55, 44, 19.975024, W, 4, 40, 28.136564, 54.6754","55, 44.332917, W, 4, 40.468943, 54.6754","55.7388819511, -4.6744823788, 54.6754","3586967.6661, -293294.1693, 5248175.2889","232190 652740 0 1","NS3252"
"232335 862562","57, 37, 18.255691, W, 4, 48, 32.558811, 54.5468","57, 37.304262, W, 4, 48.542647, 54.5468","57.621737692, -4.8090441141, 54.5468","3411693.0255, -287030.2066, 5363341.2085","232335 862562 0 1","NH3262"
"232560 630880","55, 32, 34.113292, W, 4, 39, 19.00411, 54.6197","55, 32.568555, W, 4, 39.316735, 54.6197","55.5428092479, -4.6552789194, 54.6197","3605027.2885, -293554.5244, 5235854.865","232560 630880 0 1","NS3230"
"232700 730100","56, 25, 59.983556, W, 4, 42, 53.299144, 54.3977","56, 25.999726, W, 4, 42.888319, 54.3977","56.4333287654, -4.7148053177, 54.3977","3522809.3843, -290544.1248, 5291316.7195","232700 730100 0 1","NN3230"
"232800 373800","53, 14, 5.473651, W, 4, 30, 23.934482, 54.6222","53, 14.091228, W, 4, 30.398908, 54.6222","53.234853792, -4.5066484672, 54.6222","3813978.1477, -300611.9004, 5086273.7876","232800 373800 -0 1","SH3273"
"232900 632900","55, 33, 39.803142, W, 4, 39, 4.025193, 54.6178","55, 33.663386, W, 4, 39.067087, 54.6178","55.5610564283, -4.6511181093, 54.6178","3603378.8227, -293156.8808, 5237004.0238","232900 632900 0 1","NS3232"
"233390 730220","56, 26, 4.739397, W, 4, 42, 13.341208, 54.3892","56, 26.07899, W, 4, 42.222353, 54.3892","56.4346498324, -4.7037058912, 54.3892","3522743.4387, -289851.6236, 5291398.0446","233390 730220 0 1","NN3330"
"234060 621390","55, 27, 29.311496, W, 4, 37, 33.076926, 54.6522","55, 27.488525, W, 4, 37.551282, 54.6522","55.4581420821, -4.6258547017, 54.6522","3612920.7906, -292329.6477, 5230515.838","234060 621390 0 1","NS3421"
"234130 623160","55, 28, 26.590446, W, 4, 37, 32.900367, 54.6342","55, 28.443174, W, 4, 37.548339, 54.6342","55.4740529017, -4.6258056575, 54.6342","3611466.5208, -292208.8678, 5231520.0188","234130 623160 0 1","NS3423"
"234210 674090","55, 55, 52.313889, W, 4, 39, 19.376303, 54.5081","55, 55.871898, W, 4, 39.322938, 54.5081","55.9311983025, -4.6553823064, 54.5081","3569406.4175, -290660.4285, 5260199.8996","234210 674090 0 1","NS3474"
"234480 677330","55, 57, 37.333968, W, 4, 39, 10.998005, 54.4593","55, 57.622233, W, 4, 39.1833, 54.4593","55.9603705466, -4.6530550015, 54.4593","3566735.9943, -290297.1353, 5262018.7153","234480 677330 0 1","NS3477"
"234882 372360","53, 13, 21.265997, W, 4, 28, 29.061941, 54.6325","53, 13.354433, W, 4, 28.484366, 54.6325","53.2225738882, -4.4747394282, 54.6325","3815236.3706, -298573.1923, 5085455.6893","234882 372360 -0 1","SH3472"
"234920 626210","55, 30, 6.10834, W, 4, 36, 54.489965, 54.6123","55, 30.101806, W, 4, 36.908166, 54.6123","55.5016967612, -4.6151361015, 54.6123","3608993.0507, -291332.2836, 5233263.758","234920 626210 0 1","NS3426"
"235013 627024","55, 30, 32.524255, W, 4, 36, 50.939798, 54.6103","55, 30.542071, W, 4, 36.848997, 54.6103","55.5090345152, -4.6141499438, 54.6103","3608326.9407, -291216.0025, 5233726.413","235013 627024 0 1","NS3527"
"235510 780240","56, 53, 3.340902, W, 4, 42, 4.721645, 54.5831","56, 53.055682, W, 4, 42.078694, 54.5831","56.8842613618, -4.7013115681, 54.5831","3481070.1133, -286276.2847, 5318915.3129","235510 780240 0 1","NN3580"
"235620 766410","56, 45, 36.705411, W, 4, 41, 26.123578, 54.5124","56, 45.611757, W, 4, 41.435393, 54.5124","56.7601959475, -4.6905898827, 54.5124","3492648.2159, -286570.4601, 5311354.8091","235620 766410 0 1","NN3566"
"236020 57480","50, 23, 39.333027, W, 4, 18, 30.370713, 52.3927","50, 23.65555, W, 4, 18.506179, 52.3927","50.3942591741, -4.3084363092, 52.3927","4062692.8459, -306076.9947, 4890902.7739","236020 57480 0 1","SX3657"
"236060 657970","55, 47, 13.739267, W, 4, 36, 57.806368, 54.6423","55, 47.228988, W, 4, 36.963439, 54.6423","55.7871497964, -4.6160573245, 54.6423","3582836.4321, -289278.7989, 5251198.8042","236060 657970 0 1","NS3657"
"236600 210400","51, 46, 6.145037, W, 4, 22, 10.138114, 53.5836","51, 46.102417, W, 4, 22.168969, 53.5836","51.7683736213, -4.3694828095, 53.5836","3943773.9706, -301343.9641, 4986937.6363","236600 210400 0 1","SN3610"
"237500 335000","52, 53, 16.2595, W, 4, 25, 0.142551, 54.3172","52, 53.270992, W, 4, 25.002376, 54.3172","52.8878498612, -4.4167062643, 54.3172","3845219.6316, -297001.3757, 5063066.0245","237500 335000 0 1","SH3734"
"238460 725100","56, 23, 25.669409, W, 4, 37, 6.308217, 54.3997","56, 23.427823, W, 4, 37.105137, 54.3997","56.3904637247, -4.6184189492, 54.3997","3527256.3694, -284937.5907, 5288676.1908","238460 725100 -0 1","NN3825"
"238562 673180","55, 55, 28.242051, W, 4, 35, 6.924896, 54.4267","55, 55.470701, W, 4, 35.115415, 54.4267","55.9245116809, -4.5852569156, 54.4267","3570374.1619, -286340.844, 5259782.7372","238562 673180 0 1","NS3873"
"238600 370200","53, 12, 15.545205, W, 4, 25, 4.835639, 54.644","53, 12.259087, W, 4, 25.080594, 54.644","53.2043181126, -4.4180098996, 54.644","3817152.4327, -294920.8589, 5084239.0394","238600 370200 -0 1","SH3870"
"238700 678290","55, 58, 13.523103, W, 4, 35, 9.990246, 54.3836","55, 58.225385, W, 4, 35.166504, 54.3836","55.9704230841, -4.5861084015, 54.3836","3566148.1416, -286055.2592, 5262645.1013","238700 678290 0 1","NS3878"
"239000 681900","56, 0, 10.531786, W, 4, 35, 0.485511, 54.3685","56, 0.17553, W, 4, 35.008092, 54.3685","56.0029254961, -4.5834681974, 54.3685","3563171.1701, -285651.2165, 5264669.4502","239000 681900 0 1","NS3981"
"239120 675710","55, 56, 50.665243, W, 4, 34, 40.243845, 54.383","55, 56.844421, W, 4, 34.670731, 54.383","55.9474070119, -4.5778455124, 54.383","3568306.0933, -285710.4503, 5261210.5585","239120 675710 0 1","NS3975"
"239300 679900","55, 59, 6.270091, W, 4, 34, 38.881145, 54.3714","55, 59.104502, W, 4, 34.648019, 54.3714","55.9850750252, -4.5774669847, 54.3714","3564843.4277, -285409.496, 5263557.8735","239300 679900 0 1","NS3979"
"239480 660450","55, 48, 38.00919, W, 4, 33, 46.946354, 54.5735","55, 48.633487, W, 4, 33.782439, 54.5735","55.8105581084, -4.5630406539, 54.5735","3580953.8077, -285791.9311, 5252663.7263","239480 660450 0 1","NS3960"
"239500 861300","57, 36, 46.878758, W, 4, 41, 18.208012, 54.2758","57, 36.781313, W, 4, 41.303467, 54.2758","57.6130218771, -4.6883911143, 54.2758","3413106.7429, -279912.2505, 5362821.1032","239500 861300 0 1","NH3961"
"239800 675600","55, 56, 47.928883, W, 4, 34, 0.851522, 54.3739","55, 56.798815, W, 4, 34.014192, 54.3739","55.9466469118, -4.5669032007, 54.3739","3568430.4838, -285034.5549, 5261163.1611","239800 675600 0 1","NS3975"
"240100 206500","51, 44, 3.652085, W, 4, 19, 1.235104, 53.4269","51, 44.060868, W, 4, 19.020585, 53.4269","51.7343478013, -4.3170097512, 53.4269","3947012.8988, -297955.8158, 4984593.7972","240100 206500 0 1","SN4006"
"240400 336100","52, 53, 54.953632, W, 4, 22, 27.062288, 54.3095","52, 53.915894, W, 4, 22.451038, 54.3095","52.8985982311, -4.3741839689, 54.3095","3844487.835, -294074.7922, 5063787.6491","240400 336100 0 1","SH4036"
"240580 675080","55, 56, 32.060183, W, 4, 33, 14.830217, 54.3661","55, 56.534336, W, 4, 33.24717, 54.3661","55.9422389396, -4.5541195047, 54.3661","3568899.3212, -284270.6536, 5260888.3132","240580 675080 0 1","NS4075"
"240816 641088","55, 38, 13.937295, W, 4, 31, 49.693166, 54.5805","55, 38.232288, W, 4, 31.828219, 54.5805","55.6372048041, -4.530470324, 54.5805","3597014.7184, -285016.0464, 5241793.8979","240816 641088 0 1","NS4041"
"241000 649400","55, 42, 42.74926, W, 4, 31, 56.539838, 54.6163","55, 42.712488, W, 4, 31.942331, 54.6163","55.7118747945, -4.5323721773, 54.6163","3590161.0428, -284592.9018, 5246481.8645","241000 649400 0 1","NS4149"
"241280 219710","51, 51, 12.095195, W, 4, 18, 21.541525, 53.7198","51, 51.201587, W, 4, 18.359025, 53.7198","51.8533597764, -4.3059837569, 53.7198","3936694.4426, -296415.0033, 4992783.9775","241280 219710 0 1","SN4119"
"241400 662000","55, 49, 30.379932, W, 4, 32, 0.027304, 54.5113","55, 49.506332, W, 4, 32.000455, 54.5113","55.8251055368, -4.5333409179, 54.5113","3579765.7181, -283829.768, 5253573.6659","241400 662000 0 1","NS4161"
"241780 646060","55, 40, 55.737999, W, 4, 31, 4.946151, 54.6015","55, 40.928967, W, 4, 31.082436, 54.6015","55.6821494442, -4.5180405975, 54.6015","3592957.5202, -283910.2316, 5244616.6982","241780 646060 0 1","NS4146"
"242260 757890","56, 41, 9.7036, W, 4, 34, 36.694691, 54.236","56, 41.161727, W, 4, 34.611578, 54.236","56.6860287779, -4.5768596363, 54.236","3500092.7168, -280188.0668, 5306823.0121","242260 757890 0 1","NN4257"
"242717 638224","55, 36, 43.614848, W, 4, 29, 55.192633, 54.5641","55, 36.726914, W, 4, 29.919877, 54.5641","55.6121152355, -4.4986646202, 54.5641","3599470.7953, -283200.0837, 5240216.7143","242717 638224 0 1","NS4238"
"242750 70830","50, 30, 57.848818, W, 4, 13, 9.96837, 52.3286","50, 30.964147, W, 4, 13.166139, 52.3286","50.5160691161, -4.2194356583, 52.3286","4052742.9188, -298997.0406, 4899529.7518","242750 70830 0 1","SX4270"
"242800 336500","52, 54, 10.433767, W, 4, 20, 19.427416, 54.297","52, 54.173896, W, 4, 20.32379, 54.297","52.9028982685, -4.3387298378, 54.297","3844288.4836, -291666.9252, 5064076.288","242800 336500 0 1","SH4236"
"243120 58720","50, 24, 26.428651, W, 4, 12, 32.914659, 52.2745","50, 24.440478, W, 4, 12.548578, 52.2745","50.407341292, -4.2091429608, 52.2745","4062098.8415, -298953.604, 4891830.2623","243120 58720 0 1","SX4358"
"243300 663000","55, 50, 4.928944, W, 4, 30, 13.034673, 54.4525","55, 50.082149, W, 4, 30.217245, 54.4525","55.8347024844, -4.5036207425, 54.4525","3579031.0936, -281903.4307, 5254173.7539","243300 663000 0 1","NS4362"
"243428 68775","50, 29, 52.021874, W, 4, 12, 32.462682, 52.2916","50, 29.867031, W, 4, 12.541045, 52.2916","50.497783854, -4.2090174117, 52.2916","4054362.6399, -298375.3195, 4898236.0996","243428 68775 0 1","SX4368"
"243769 670509","55, 54, 8.122917, W, 4, 30, 1.692818, 54.3399","55, 54.135382, W, 4, 30.028214, 54.3399","55.9022563659, -4.5004702272, 54.3399","3572839.8085, -281218.0951, 5258393.9185","243769 670509 0 1","NS4370"
"244000 67400","50, 29, 8.088378, W, 4, 12, 1.382766, 52.2762","50, 29.134806, W, 4, 12.023046, 52.2762","50.4855801051, -4.2003841017, 52.2762","4055452.1143, -297841.1208, 4897372.4352","244000 67400 0 1","SX4467"
"244300 673700","55, 55, 51.857276, W, 4, 29, 37.773098, 54.3239","55, 55.864288, W, 4, 29.629552, 54.3239","55.9310714655, -4.4938258606, 54.3239","3570223.3592, -280595.5685, 5260191.8359","244300 673700 0 1","NS4473"
"244645 58080","50, 24, 7.182892, W, 4, 11, 14.759127, 52.2486","50, 24.119715, W, 4, 11.245985, 52.2486","50.4019952477, -4.1874330909, 52.2486","4062668.8275, -297447.8773, 4891451.215","244645 58080 0 1","SX4458"
"244685 58010","50, 24, 4.956321, W, 4, 11, 12.630062, 52.2479","50, 24.082605, W, 4, 11.210501, 52.2479","50.4013767558, -4.1868416838, 52.2479","4062724.768, -297409.8127, 4891407.3616","244685 58010 0 1","SX4458"
"244700 200700","51, 41, 0.717651, W, 4, 14, 52.313734, 53.2169","51, 41.011961, W, 4, 14.871896, 53.2169","51.6835326809, -4.2478649262, 53.2169","3951794.8178, -293521.0104, 4981090.1996","244700 200700 0 1","SN4400"
"245160 56715","50, 23, 23.511633, W, 4, 10, 46.662877, 52.2411","50, 23.391861, W, 4, 10.777715, 52.2411","50.3898643425, -4.1796285768, 52.2411","4063746.216, -296970.2554, 4890590.9873","245160 56715 0 1","SX4556"
"245230 63545","50, 27, 4.545935, W, 4, 10, 53.268439, 52.2347","50, 27.075766, W, 4, 10.887807, 52.2347","50.4512627598, -4.1814634554, 52.2347","4058486.6665, -296716.5644, 4894942.598","245230 63545 0 1","SX4563"
"245398 55850","50, 22, 55.752494, W, 4, 10, 33.336615, 52.238","50, 22.929208, W, 4, 10.55561, 52.238","50.3821534706, -4.1759268375, 52.238","4064424.4023, -296755.8224, 4890044.0812","245398 55850 0 1","SX4555"
"245755 55435","50, 22, 42.663956, W, 4, 10, 14.660212, 52.2324","50, 22.711066, W, 4, 10.244337, 52.2324","50.3785177656, -4.1707389477, 52.2324","4064761.9542, -296410.4615, 4889786.1791","245755 55435 0 1","SX4555"
"246800 672900","55, 55, 28.896721, W, 4, 27, 12.228379, 54.2823","55, 55.481612, W, 4, 27.203806, 54.2823","55.9246935335, -4.4533967721, 54.2823","3571006.888, -278121.948, 5259793.962","246800 672900 0 1","NS4672"
"247200 664800","55, 51, 7.60124, W, 4, 26, 32.738876, 54.3346","55, 51.126687, W, 4, 26.545648, 54.3346","55.8521114555, -4.4424274654, 54.3346","3577730.9184, -277956.5349, 5255261.9353","247200 664800 0 1","NS4764"
"247700 55300","50, 22, 40.121313, W, 4, 8, 36.058192, 52.1991","50, 22.668689, W, 4, 8.60097, 52.1991","50.3778114758, -4.1433494979, 52.1991","4064963.5221, -294471.6958, 4889736.0507","247700 55300 0 1","SX4755"
"247900 657080","55, 46, 58.915035, W, 4, 25, 36.973375, 54.4925","55, 46.981917, W, 4, 25.616223, 54.4925","55.7830319543, -4.4269370486, 54.4925","3584149.6703, -277480.3778, 5250940.88","247900 657080 0 1","NS4757"
"248300 663420","55, 50, 24.254956, W, 4, 25, 26.767962, 54.34","55, 50.404249, W, 4, 25.446133, 54.34","55.8400708211, -4.4241022116, 54.34","3578925.7267, -276897.8106, 5254509.3009","248300 663420 0 1","NS4863"
"248304 664230","55, 50, 50.435622, W, 4, 25, 28.168542, 54.3235","55, 50.840594, W, 4, 25.469476, 54.3235","55.8473432284, -4.4244912616, 54.3235","3578255.7921, -276870.421, 5254963.9004","248304 664230 0 1","NS4864"
"248420 671420","55, 54, 42.917944, W, 4, 25, 35.996792, 54.2514","55, 54.715299, W, 4, 25.599947, 54.2514","55.911921651, -4.4266657755, 54.2514","3572310.5127, -276546.7902, 5258997.0629","248420 671420 0 1","NS4871"
"249660 338010","52, 55, 6.328892, W, 4, 14, 15.070715, 54.3175","52, 55.105482, W, 4, 14.251179, 54.3175","52.9184246922, -4.2375196432, 54.3175","3843423.1688, -284773.8816, 5065118.3107","249660 338010 0 1","SH4938"
"249728 670900","55, 54, 27.591629, W, 4, 24, 19.69532, 54.2282","55, 54.45986, W, 4, 24.328255, 54.2282","55.9076643414, -4.4054709223, 54.2282","3572803.953, -275255.4553, 5258731.3602","249728 670900 0 1","NS4970"
"249768 670121","55, 54, 2.46168, W, 4, 24, 15.835357, 54.2278","55, 54.041028, W, 4, 24.263923, 54.2278","55.9006838001, -4.4043987103, 54.2278","3573450.8198, -275238.0221, 5258295.6665","249768 670121 0 1","NS4970"
"249840 659320","55, 48, 13.489314, W, 4, 23, 50.165679, 54.401","55, 48.224822, W, 4, 23.836095, 54.401","55.8037470316, -4.3972682443, 54.401","3582391.0115, -275478.1532, 5252237.4114","249840 659320 0 1","NS4959"
"249890 663600","55, 50, 31.862074, W, 4, 23, 55.810425, 54.3035","55, 50.531035, W, 4, 23.930174, 54.3035","55.8421839094, -4.3988362292, 54.3035","3578853.3537, -275304.635, 5254641.3729","249890 663600 0 1","NS4963"
"250650 199445","51, 40, 25.935673, W, 4, 9, 40.773581, 53.0845","51, 40.432261, W, 4, 9.67956, 53.0845","51.6738710202, -4.1613259947, 53.0845","3953074.7048, -287613.1224, 4980423.5338","250650 199445 0 1","SS5099"
"250870 669180","55, 53, 33.285382, W, 4, 23, 10.577339, 54.2128","55, 53.554756, W, 4, 23.176289, 54.2128","55.8925792728, -4.3862714831, 54.2128","3574282.707, -274164.5847, 5257789.709","250870 669180 0 1","NS5069"
"250967 670514","55, 54, 16.505167, W, 4, 23, 7.645707, 54.2066","55, 54.275086, W, 4, 23.127428, 54.2066","55.9045847687, -4.3854571409, 54.2066","3573182.9883, -274029.1468, 5258539.1392","250967 670514 0 1","NS5070"
"251650 665080","55, 51, 21.652436, W, 4, 22, 17.636088, 54.2434","55, 51.360874, W, 4, 22.293935, 54.2434","55.8560145655, -4.3715655801, 54.2434","3577713.2895, -273504.0632, 5255505.7867","251650 665080 0 1","NS5165"
"252005 845807","57, 28, 41.749804, W, 4, 28, 11.508359, 53.6457","57, 28.69583, W, 4, 28.191806, 53.6457","57.4782638344, -4.4698634331, 53.6457","3426774.7539, -267879.5099, 5354766.8252","252005 845807 0 1","NH5245"
"252030 663540","55, 50, 32.303511, W, 4, 21, 52.775974, 54.2605","55, 50.538392, W, 4, 21.8796, 54.2605","55.842306531, -4.3646599927, 54.2605","3579005.644, -273168.9819, 5254649.0029","252030 663540 0 1","NS5263"
"252182 668590","55, 53, 15.675143, W, 4, 21, 53.961751, 54.1929","55, 53.261252, W, 4, 21.899363, 54.1929","55.8876875396, -4.3649893754, 54.1929","3574833.9278, -272871.2449, 5257484.2632","252182 668590 0 1","NS5268"
"252210 660150","55, 48, 42.944454, W, 4, 21, 35.798722, 54.3256","55, 48.715741, W, 4, 21.596645, 54.3256","55.8119290151, -4.3599440893, 54.3256","3581818.3236, -273087.1327, 5252749.2905","252210 660150 0 1","NS5260"
"252380 670490","55, 54, 17.298048, W, 4, 21, 46.309476, 54.1833","55, 54.288301, W, 4, 21.771825, 54.1833","55.9048050133, -4.3628637433, 54.1833","3573270.507, -272618.5694, 5258552.8663","252380 670490 0 1","NS5270"
"252600 371600","53, 13, 15.457808, W, 4, 12, 33.197935, 54.6321","53, 13.25763, W, 4, 12.553299, 54.6321","53.2209605021, -4.2092216486, 54.6321","3816722.4634, -280900.1918, 5085348.1853","252600 371600 0 1","SH5271"
"252680 664840","55, 51, 15.033077, W, 4, 21, 17.983427, 54.2267","55, 51.250551, W, 4, 21.299724, 54.2267","55.8541758548, -4.3549953963, 54.2267","3577961.1723, -272482.2271, 5255390.8648","252680 664840 0 1","NS5264"
"252742 850189","57, 31, 4.182526, W, 4, 27, 36.831154, 53.5923","57, 31.069709, W, 4, 27.613853, 53.5923","57.5178284795, -4.460230876, 53.5923","3423114.8098, -267014.4002, 5357134.4115","252742 850189 0 1","NH5250"
"252930 668280","55, 53, 6.481392, W, 4, 21, 10.341597, 54.1824","55, 53.108023, W, 4, 21.17236, 54.1824","55.88513372, -4.3528726659, 54.1824","3575126.285, -272133.1129, 5257324.7843","252930 668280 0 1","NS5268"
"253050 663340","55, 50, 26.96237, W, 4, 20, 53.800005, 54.2427","55, 50.449373, W, 4, 20.896667, 54.2427","55.8408228806, -4.3482777791, 54.2427","3579219.892, -272156.0118, 5254556.237","253050 663340 0 1","NS5363"
"253280 660140","55, 48, 43.795823, W, 4, 20, 34.369316, 54.3028","55, 48.72993, W, 4, 20.572822, 54.3028","55.8121655063, -4.3428803656, 54.3028","3581877.764, -272018.7398, 5252764.0672","253280 660140 0 1","NS5360"
"253570 664630","55, 51, 9.222179, W, 4, 20, 26.439583, 54.2122","55, 51.153703, W, 4, 20.44066, 54.2122","55.8525617165, -4.340677662, 54.2122","3578177.4525, -271599.3729, 5255289.9746","253570 664630 0 1","NS5364"
"253675 657725","55, 47, 26.177793, W, 4, 20, 7.024455, 54.3557","55, 47.436297, W, 4, 20.117074, 54.3557","55.7906049425, -4.335284571, 54.3557","3583893.6118, -271693.9714, 5251414.8581","253675 657725 0 1","NS5357"
"253914 662940","55, 50, 14.979668, W, 4, 20, 3.400915, 54.2325","55, 50.249661, W, 4, 20.056682, 54.2325","55.8374943521, -4.3342780321, 54.2325","3579592.0582, -271304.6263, 5254348.1313","253914 662940 0 1","NS5362"
"254105 855032","57, 33, 42.238046, W, 4, 26, 25.452157, 53.535","57, 33.703967, W, 4, 26.424203, 53.535","57.5617327905, -4.4404033769, 53.535","3419093.6541, -265510.3746, 5359758.7022","254105 855032 0 1","NH5455"
"254130 670430","55, 54, 17.279411, W, 4, 20, 5.513262, 54.1544","55, 54.28799, W, 4, 20.091888, 54.1544","55.9047998365, -4.3348647949, 54.1544","3573403.7617, -270872.4079, 5258552.5193","254130 670430 0 1","NS5470"
"254355 671795","55, 55, 1.639068, W, 4, 19, 55.217373, 54.1512","55, 55.027318, W, 4, 19.92029, 54.1512","55.9171219632, -4.3320048257, 54.1512","3572284.3097, -270608.2132, 5259321.4734","254355 671795 0 1","NS5471"
"254390 660230","55, 48, 47.913969, W, 4, 19, 30.835905, 54.2781","55, 48.798566, W, 4, 19.513932, 54.2781","55.813309436, -4.3252321959, 54.2781","3581856.3106, -270907.4949, 5252835.6128","254390 660230 0 1","NS5460"
"254670 667950","55, 52, 57.718254, W, 4, 19, 29.650546, 54.1557","55, 52.961971, W, 4, 19.494176, 54.1557","55.882699515, -4.3249029293, 54.1557","3575482.434, -270404.7527, 5257172.7515","254670 667950 0 1","NS5467"
"254880 668683","55, 53, 21.635641, W, 4, 19, 18.99063, 54.1485","55, 53.360594, W, 4, 19.31651, 54.1485","55.8893432336, -4.3219418416, 54.1485","3574885.7129, -270173.8155, 5257587.6087","254880 668683 0 1","NS5468"
